,D,t,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
CHS21.3x2,21.3,2,0.95,67,121,77,5707,6.9,535.9,747.6,11410,1072
CHS21.3x2.5,21.3,2.5,1.16,67,148,94,6639,6.7,623.4,888.8,13280,1247
CHS21.3x3,21.3,3,1.35,67,172,110,7414,6.6,696.1,1014,14830,1392
CHS26.9x2,26.9,2,1.23,85,156,100,12200,8.8,907.3,1243,24410,1815
CHS26.9x2.5,26.9,2.5,1.5,85,192,122,14410,8.7,1071,1494,28820,2143
CHS26.9x3,26.9,3,1.77,85,225,143,16340,8.5,1215,1723,32670,2429
CHS33.7x2,33.7,2,1.56,106,199,127,25120,11.2,1491,2012,50240,2981
CHS33.7x2.5,33.7,2.5,1.92,106,245,156,30010,11.1,1781,2439,60020,3562
CHS33.7x3,33.7,3,2.27,106,289,184,34410,10.9,2042,2836,68830,4085
CHS42.4x2,42.4,2,1.99,133,254,162,51920,14.3,2449,3267,103800,4898
CHS42.4x2.5,42.4,2.5,2.46,133,313,200,62610,14.1,2953,3985,125200,5906
CHS42.4x3,42.4,3,2.91,133,371,236,72470,14,3419,4666,144900,6837
CHS42.4x4,42.4,4,3.79,133,483,307,89910,13.6,4241,5920,179800,8482
CHS48.3x2,48.3,2,2.28,152,291,185,78100,16.4,3234,4290,156200,6468
CHS48.3x2.5,48.3,2.5,2.82,152,360,229,94600,16.2,3917,5249,189200,7834
CHS48.3x3,48.3,3,3.35,152,427,272,110000,16.1,4555,6165,220000,9109
CHS48.3x4,48.3,4,4.37,152,557,354,137700,15.7,5701,7871,275400,11400
CHS48.3x5,48.3,5,5.34,152,680,433,161500,15.4,6689,9416,323100,13380
CHS60.3x2,60.3,2,2.88,189,366,233,155800,20.6,5168,6800,311600,10340
CHS60.3x2.5,60.3,2.5,3.56,189,454,289,189900,20.5,6300,8357,379900,12600
CHS60.3x3,60.3,3,4.24,189,540,344,222200,20.3,7371,9859,444500,14740
CHS60.3x4,60.3,4,5.55,189,707,450,281700,20,9344,12700,563500,18690
CHS60.3x5,60.3,5,6.82,189,869,553,334800,19.6,11100,15330,669500,22210
CHS76.1x2,76.1,2,3.65,239,466,296,319800,26.2,8404,10980,639600,16810
CHS76.1x2.5,76.1,2.5,4.54,239,578,368,391900,26,10300,13550,783700,20600
CHS76.1x3,76.1,3,5.41,239,689,439,461000,25.9,12110,16040,921900,24230
CHS76.1x4,76.1,4,7.11,239,906,577,590600,25.5,15520,20810,1181000,31040
CHS76.1x5,76.1,5,8.77,239,1117,711,709200,25.2,18640,25320,1418000,37280
CHS76.1x6,76.1,6,10.4,239,1321,841,817600,24.9,21490,29560,1635000,42970
CHS76.1x6.3,76.1,6.3,10.8,239,1381,879,848200,24.8,22290,30780,1696000,44580
CHS88.9x2,88.9,2,4.29,279,546,348,515700,30.7,11600,15110,1031000,23200
CHS88.9x2.5,88.9,2.5,5.33,279,679,432,633700,30.6,14260,18670,1267000,28510
CHS88.9x3,88.9,3,6.36,279,810,515,747600,30.4,16820,22150,1495000,33640
CHS88.9x4,88.9,4,8.38,279,1067,679,963400,30,21670,28850,1927000,43350
CHS88.9x5,88.9,5,10.3,279,1318,839,1164000,29.7,26180,35240,2327000,52360
CHS88.9x6,88.9,6,12.3,279,1563,995,1349000,29.4,30360,41310,2699000,60720
CHS88.9x6.3,88.9,6.3,12.8,279,1635,1041,1402000,29.3,31550,43070,2805000,63100
CHS101.6x2,101.6,2,4.91,319,626,398,776300,35.2,15280,19840,1553000,30560
CHS101.6x2.5,101.6,2.5,6.11,319,778,496,956100,35,18820,24560,1912000,37640
CHS101.6x3,101.6,3,7.29,319,929,592,1130000,34.9,22250,29170,2261000,44500
CHS101.6x4,101.6,4,9.63,319,1226,781,1463000,34.5,28800,38120,2926000,57590
CHS101.6x5,101.6,5,11.9,319,1517,966,1775000,34.2,34930,46700,3549000,69870
CHS101.6x6,101.6,6,14.1,319,1802,1147,2067000,33.9,40680,54910,4134000,81370
CHS101.6x6.3,101.6,6.3,14.8,319,1886,1201,2151000,33.8,42340,57300,4301000,84670
CHS114.3x2.5,114.3,2.5,6.89,359,878,559,1373000,39.5,24020,31250,2745000,48030
CHS114.3x3,114.3,3,8.23,359,1049,668,1625000,39.4,28440,37170,3251000,56880
