Unnamed: 0,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
RHS40x20x2,40.0,20.0,2.0,4.0,2.0,1.68,113.0,214.0,142.0,71.0,40500.0,13.8,2025.0,2614.0,13430.0,7.9,1343.0,1597.0,34530.0,2355.0
RHS40x20x2.5,40.0,20.0,2.5,5.0,2.5,2.03,111.0,259.0,173.0,86.0,46940.0,13.5,2347.0,3092.0,15370.0,7.7,1537.0,1878.0,40610.0,2718.0
RHS40x20x3,40.0,20.0,3.0,6.0,3.0,2.36,110.0,301.0,201.0,100.0,52080.0,13.2,2604.0,3504.0,16850.0,7.5,1685.0,2115.0,45670.0,3005.0
RHS50x30x2,50.0,30.0,2.0,4.0,2.0,2.31,153.0,294.0,184.0,110.0,95360.0,18.0,3815.0,4742.0,42930.0,12.1,2862.0,3325.0,97670.0,4835.0
RHS50x30x2.5,50.0,30.0,2.5,5.0,2.5,2.82,151.0,359.0,224.0,135.0,113000.0,17.7,4519.0,5699.0,50520.0,11.9,3368.0,3985.0,117400.0,5719.0
RHS50x30x3,50.0,30.0,3.0,6.0,3.0,3.3,150.0,421.0,263.0,158.0,128300.0,17.5,5132.0,6568.0,57000.0,11.6,3800.0,4579.0,135300.0,6489.0
RHS50x30x4,50.0,30.0,4.0,8.0,4.0,4.2,146.0,535.0,334.0,201.0,152500.0,16.9,6100.0,8048.999999999999,66930.0,11.2,4462.0,5581.0,165300.0,7714.0
RHS60x40x2,60.0,40.0,2.0,4.0,2.0,2.93,193.0,374.0,224.0,149.0,184100.0,22.2,6137.0,7471.0,98310.0,16.2,4915.0,5654.0,207000.0,8116.0
RHS60x40x2.5,60.0,40.0,2.5,5.0,2.5,3.6,191.0,459.0,275.0,184.0,220700.0,21.9,7357.0,9056.0,117400.0,16.0,5868.0,6842.0,251400.0,9722.0
RHS60x40x3,60.0,40.0,3.0,6.0,3.0,4.25,190.0,541.0,324.0,216.0,253800.00000000003,21.7,8460.0,10530.0,134400.0,15.8,6720.0,7944.0,292800.0,11170.0
RHS60x40x4,60.0,40.0,4.0,8.0,4.0,5.45,186.0,695.0,417.0,278.0,309900.0,21.1,10330.0,13160.0,162800.0,15.3,8140.000000000001,9895.0,366700.0,13650.0
RHS60x40x5,60.0,40.0,5.0,10.0,5.0,6.56,183.0,836.0,501.0,334.0,353300.0,20.6,11780.0,15380.0,184300.0,14.8,9213.0,11520.0,428500.0,15600.0
RHS70x50x2,70.0,50.0,2.0,4.0,2.0,3.56,233.0,454.0,265.0,189.0,314800.0,26.3,8993.0,10800.0,187600.0,20.3,7503.0,8582.0,374500.0,12200.0
RHS70x50x2.5,70.0,50.0,2.5,5.0,2.5,4.39,231.0,559.0,326.0,233.0,380100.0,26.1,10860.0,13160.0,225900.0,20.1,9036.0,10450.0,457500.0,14720.0
RHS70x50x3,70.0,50.0,3.0,6.0,3.0,5.19,230.0,661.0,385.0,275.0,440500.0,25.8,12590.0,15400.0,261000.0,19.9,10440.0,12210.0,536200.0,17060.0
RHS70x50x4,70.0,50.0,4.0,8.0,4.0,6.71,226.0,855.0,499.0,356.0,546700.0,25.3,15620.0,19480.0,322200.0,19.4,12890.0,15410.0,680700.0,21190.0
RHS70x50x5,70.0,50.0,5.0,10.0,5.0,8.13,223.0,1036.0,604.0,432.0,634600.0,24.8,18130.0,23060.0,372000.0,19.0,14880.0,18200.0,807700.0,24640.0
RHS80x40x2,80.0,40.0,2.0,4.0,2.0,3.56,233.0,454.0,302.0,151.0,373600.0,28.7,9339.0,11610.0,127200.00000000001,16.7,6361.0,7174.0,308800.0,11000.0
RHS80x40x2.5,80.0,40.0,2.5,5.0,2.5,4.39,231.0,559.0,373.0,186.0,451100.0,28.4,11280.0,14150.0,152600.0,16.5,7628.0,8717.0,375800.0,13240.0
