,b,t,ro,ri,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[×106mm4],[mm],[×103mm3],[×103mm3],[×103mm4],[×103mm3]
SHS40/2.6,40,2.6,3.9,2.6,3,0.153,382,191,0.08797,15.2,4.399,5.312,140.3,6.407
SHS40/3.2,40,3.2,4.8,3.2,3.61,0.152,460,230,0.1023,14.9,5.115,6.284,165.4,7.417
SHS40/4,40,4,6,4,4.39,0.15,559,279,0.1183,14.5,5.915,7.439,194.8,8.536
SHS40/5,40,5,7.5,5,5.28,0.147,673,337,0.1337,14.1,6.684,8.663,225,9.602
SHS50/2.6,50,2.6,3.9,2.6,3.81,0.193,486,243,0.1803,19.3,7.212,8.583,284.1,10.55
SHS50/3.2,50,3.2,4.8,3.2,4.62,0.192,588,294,0.2123,19,8.491,10.24,338.2,12.37
SHS50/4,50,4,6,4,5.64,0.19,719,359,0.2497,18.6,9.99,12.27,403.9,14.49
SHS50/5,50,5,7.5,5,6.85,0.187,873,437,0.2888,18.2,11.55,14.53,475.6,16.67
SHS50/6.3,50,6.3,9.4,6.3,8.31,0.184,1059,529,0.3276,17.6,13.1,17.01,551.9,18.82
SHS60/2.6,60,2.6,3.9,2.6,4.63,0.233,590,295,0.3216,23.4,10.72,12.63,502.5,15.74
SHS60/3.2,60,3.2,4.8,3.2,5.62,0.232,716,358,0.3816,23.1,12.72,15.16,601.9,18.6
SHS60/4,60,4,6,4,6.9,0.23,879,439,0.4539,22.7,15.13,18.31,725.1,22.03
SHS60/5,60,5,7.5,5,8.42,0.227,1073,537,0.5326,22.3,17.75,21.89,864,25.72
SHS60/6.3,60,6.3,9.4,6.3,10.3,0.224,1311,655,0.6165,21.7,20.55,26,1020,29.62
SHS60/8,60,8,12,8,12.5,0.219,1595,798,0.6973,20.9,23.24,30.44,1182,33.35
SHS70/3.2,70,3.2,4.8,3.2,6.63,0.272,844,422,0.6231,27.2,17.8,21.04,975.8,26.11
SHS70/4,70,4,6,4,8.15,0.27,1039,519,0.7469,26.8,21.34,25.54,1182,31.16
SHS70/5,70,5,7.5,5,9.99,0.267,1273,637,0.885,26.4,25.29,30.76,1420,36.76
SHS70/6.3,70,6.3,9.4,6.3,12.3,0.264,1563,781,1.038,25.8,29.67,36.88,1695,42.92
SHS70/8,70,8,12,8,15,0.259,1915,958,1.198,25,34.22,43.77,1997,49.24
SHS80/3.2,80,3.2,4.8,3.2,7.63,0.312,972,486,0.9495,31.3,23.74,27.88,1479,34.9
SHS80/4,80,4,6,4,9.41,0.31,1199,599,1.145,30.9,28.61,33.98,1800,41.9
SHS80/5,80,5,7.5,5,11.6,0.307,1473,737,1.366,30.5,34.15,41.13,2174,49.79
SHS80/6.3,80,6.3,9.4,6.3,14.2,0.304,1815,907,1.619,29.9,40.47,49.65,2615,58.71
SHS80/8,80,8,12,8,17.5,0.299,2235,1118,1.893,29.1,47.32,59.51,3117,68.29
SHS90/4,90,4,6,4,10.7,0.35,1359,679,1.663,35,36.95,43.61,2601,54.23
SHS90/5,90,5,7.5,5,13.1,0.347,1673,837,1.996,34.5,44.35,52.99,3155,64.81
SHS90/6.3,90,6.3,9.4,6.3,16.2,0.344,2067,1033,2.383,34,52.95,64.31,3818,77.01
SHS90/8,90,8,12,8,20.1,0.339,2555,1278,2.815,33.2,62.55,77.65,4590,90.5
SHS100/4,100,4,6,4,11.9,0.39,1519,759,2.318,39.1,46.36,54.44,3611,68.15
SHS100/5,100,5,7.5,5,14.7,0.387,1873,937,2.794,38.6,55.89,66.36,4394,81.83
SHS100/6.3,100,6.3,9.4,6.3,18.2,0.384,2319,1159,3.356,38,67.11,80.86,5342,97.82
SHS100/8,100,8,12,8,22.6,0.379,2875,1438,3.996,37.3,79.92,98.18,6462,115.9
SHS100/10,100,10,15,10,27.4,0.374,3493,1746,4.621,36.4,92.42,116.2,7610,133.4
SHS120/5,120,5,7.5,5,17.8,0.467,2273,1137,4.977,46.8,82.95,97.59,7765,121.9
SHS120/6.3,120,6.3,9.4,6.3,22.2,0.464,2823,1411,6.029,46.2,100.5,119.6,9502,147
SHS120/8,120,8,12,8,27.6,0.459,3515,1758,7.263,45.5,121.1,146.5,11600,176.2
SHS120/10,120,10,15,10,33.7,0.454,4293,2146,8.521,44.6,142,175.2,13820,205.8
SHS120/12.5,120,12.5,18.8,12.5,40.9,0.448,5207,2604,9.818,43.4,163.6,206.8,16230,235.9
