,D,t,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,manufacture
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
CHS21.3x2,21.3,2,0.95,0.067,121,77,77,5707,6.9,535.9,747.6,5707,6.9,535.9,747.6,11410,1072,cold
CHS21.3x2.5,21.3,2.5,1.16,0.067,148,94,94,6639,6.7,623.4,888.8,6639,6.7,623.4,888.8,13280,1247,cold
CHS21.3x3,21.3,3,1.35,0.067,172,110,110,7414,6.6,696.1,1014,7414,6.6,696.1,1014,14830,1392,cold
CHS26.9x2,26.9,2,1.23,0.085,156,100,100,12200,8.8,907.3,1243,12200,8.8,907.3,1243,24410,1815,cold
CHS26.9x2.5,26.9,2.5,1.5,0.085,192,122,122,14410,8.7,1071,1494,14410,8.7,1071,1494,28820,2143,cold
CHS26.9x3,26.9,3,1.77,0.085,225,143,143,16340,8.5,1215,1723,16340,8.5,1215,1723,32670,2429,cold
CHS33.7x2,33.7,2,1.56,0.106,199,127,127,25120,11.2,1491,2012,25120,11.2,1491,2012,50240,2981,cold
CHS33.7x2.5,33.7,2.5,1.92,0.106,245,156,156,30010,11.1,1781,2439,30010,11.1,1781,2439,60020,3562,cold
CHS33.7x3,33.7,3,2.27,0.106,289,184,184,34410,10.9,2042,2836,34410,10.9,2042,2836,68830,4085,cold
CHS42.4x2,42.4,2,1.99,0.133,254,162,162,51920,14.3,2449,3267,51920,14.3,2449,3267,103800,4898,cold
CHS42.4x2.5,42.4,2.5,2.46,0.133,313,200,200,62610,14.1,2953,3985,62610,14.1,2953,3985,125200,5906,cold
CHS42.4x3,42.4,3,2.91,0.133,371,236,236,72470,14,3419,4666,72470,14,3419,4666,144900,6837,cold
CHS42.4x4,42.4,4,3.79,0.133,483,307,307,89910,13.6,4241,5920,89910,13.6,4241,5920,179800,8482,cold
CHS48.3x2,48.3,2,2.28,0.152,291,185,185,78100,16.4,3234,4290,78100,16.4,3234,4290,156200,6468,cold
CHS48.3x2.5,48.3,2.5,2.82,0.152,360,229,229,94600,16.2,3917,5249,94600,16.2,3917,5249,189200,7834,cold
CHS48.3x3,48.3,3,3.35,0.152,427,272,272,110000,16.1,4555,6165,110000,16.1,4555,6165,220000,9109,cold
CHS48.3x4,48.3,4,4.37,0.152,557,354,354,137700,15.7,5701,7871,137700,15.7,5701,7871,275400,11400,cold
CHS48.3x5,48.3,5,5.34,0.152,680,433,433,161500,15.4,6689,9416,161500,15.4,6689,9416,323100,13380,cold
CHS60.3x2,60.3,2,2.88,0.189,366,233,233,155800,20.6,5168,6800,155800,20.6,5168,6800,311600,10340,cold
CHS60.3x2.5,60.3,2.5,3.56,0.189,454,289,289,189900,20.5,6300,8357,189900,20.5,6300,8357,379900,12600,cold
CHS60.3x3,60.3,3,4.24,0.189,540,344,344,222200,20.3,7371,9859,222200,20.3,7371,9859,444500,14740,cold
CHS60.3x4,60.3,4,5.55,0.189,707,450,450,281700,20,9344,12700,281700,20,9344,12700,563500,18690,cold
CHS60.3x5,60.3,5,6.82,0.189,869,553,553,334800,19.6,11100,15330,334800,19.6,11100,15330,669500,22210,cold
CHS76.1x2,76.1,2,3.65,0.239,466,296,296,319800,26.2,8404,10980,319800,26.2,8404,10980,639600,16810,cold
CHS76.1x2.5,76.1,2.5,4.54,0.239,578,368,368,391900,26,10300,13550,391900,26,10300,13550,783700,20600,cold
CHS76.1x3,76.1,3,5.41,0.239,689,439,439,461000,25.9,12110,16040,461000,25.9,12110,16040,921900,24230,cold
CHS76.1x4,76.1,4,7.11,0.239,906,577,577,590600,25.5,15520,20810,590600,25.5,15520,20810,1181000,31040,cold
CHS76.1x5,76.1,5,8.77,0.239,1117,711,711,709200,25.2,18640,25320,709200,25.2,18640,25320,1418000,37280,cold
CHS76.1x6,76.1,6,10.4,0.239,1321,841,841,817600,24.9,21490,29560,817600,24.9,21490,29560,1635000,42970,cold
CHS76.1x6.3,76.1,6.3,10.8,0.239,1381,879,879,848200,24.8,22290,30780,848200,24.8,22290,30780,1696000,44580,cold
