,h,b,t_w,t_f,r,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,I_w,W_w
,mm,mm,mm,mm,mm,kg/m,m,mm2,mm2,mm2,mm4,mm,mm3,mm3,mm4,mm4,mm3,mm3,mm4,mm3,mm6,mm4
HD260x54.1,244,260,6.5,9.5,24,54.2,1.474,6900,1516,4338,79810000,107.6,654100,714500,27880000,63.6,214500,327700,303100,31910,3.83E+11,25100900
HD260x68.2,250,260,7.5,12.5,24,68.1,1.484,8680,1785,5569,104500000,109.7,836400,919800,36680000,65,282100,430200,523700,41900,5.16E+11,33451000
HD260x93,260,260,10,17.5,24,92.9,1.499,11840,2426,7488,149200000,112.2,1148000,1283000,51350000,65.8,395000,602200,1238000,70740,7.54E+11,47816000
HD260x114,268,262,12.5,21.5,24,114.4,1.518,14570,3065,9121,189100000,113.9,1411000,1600000,64560000,66.6,492800,752500,2224000,103440,9.79E+11,60635200
HD260x142,278,265,15.5,26.5,24,141.5,1.544,18030,3868,11182,243300000,116.2,1750000,2015000,82360000,67.6,621600,950500,4068000,153510,1.30E+12,78022400
HD260x172,290,268,18,32.5,24,172.4,1.575,21960,4647,13622,313100000,119.4,2159000,2524000,104500000,69,779700,1192000,7190000,221230,1.73E+12,100159400
HD260x225,309,271,24,42,24,225,1.613,28660,6425,17399,437500000,123.6,2832000,3396000,139700000,69.8,1031000,1583000,15450000,367860,2.48E+12,137263800
HD260x299,335,278,31,55,24,298.7,1.679,38050,8570,22712,642200000,129.9,3834000,4727000,197700000,72.1,1423000,2190000,34370000,624910,3.86E+12,198355600
HD320x74.2,301,300,8,11,27,74.3,1.74,9460,2284,5785,164500000,131.9,1093000,1196000,49590000,72.4,330600,505700,558700,50790,1.04E+12,47862100
HD320x97.6,310,300,9,15.5,27,97.7,1.756,12440,2657,7896,229300000,135.8,1479000,1628000,69850000,74.9,465700,709700,1080000,69680,1.51E+12,68455000
