,h,b,t_w,t_f,r,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,I_w,W_w
,mm,mm,mm,mm,mm,kg/m,m,mm2,mm2,mm2,mm4,mm,mm3,mm3,mm4,mm4,mm3,mm3,mm4,mm3,mm6,mm4
HEA100,96,100,5,8,12,16.7,0.561,2124,756,1600,3492000,40.6,72760,83010,1338000,25.1,26760,41140,51990,10400,2475000000,1143000
HEA120,114,120,5,8,12,19.9,0.677,2534,846,1920,6062000,48.9,106300,119500,2309000,30.2,38480,58850,59570,11910,6285000000,1998000
HEA140,133,140,5.5,8.5,12,24.7,0.794,3142,1012,2380,10330000,57.3,155400,173500,3893000,35.2,55620,84850,80320,14600,14729000000,3409000
HEA160,152,160,6,9,15,30.4,0.906,3877,1321,2880,16730000,65.7,220100,245100,6156000,39.8,76950,117600,118400,19730,30615000000,5404000
HEA180,171,180,6,9.5,15,35.5,1.024,4525,1447,3420,25100000,74.5,293600,324900,9246000,45.2,102700,156500,146600,24430,59014000000,8182000
HEA200,190,200,6.5,10,18,42.3,1.136,5383,1808,4000,36920000,82.8,388600,429500,13360000,49.8,133600,203800,204300,31430,1.06E+11,11830000
HEA220,210,220,7,11,18,50.5,1.255,6434,2067,4840,54100000,91.7,515200,568500,19550000,55.1,177700,270600,280900,40130,1.90E+11,17440000
HEA240,230,240,7.5,12,21,60.3,1.369,7684,2518,5760,77630000,100.5,675100,744600,27690000,60,230700,351700,410300,54710,3.22E+11,24780000
HEA260,250,260,7.5,12.5,24,68.2,1.484,8682,2876,6500,104500000,109.7,836400,919800,36680000,65,282100,430200,520000,69330,5.05E+11,32980000
HEA280,270,280,8,13,24,76.4,1.603,9726,3174,7280,136700000,118.6,1013000,1112000,47630000,70,340200,518100,613900,76740,7.70E+11,43120000
HEA300,290,300,8.5,14,27,88.3,1.717,11253,3728,8400,182600000,127.4,1260000,1383000,63100000,74.9,420600,641200,842400,99110,1.17E+12,57190000
HEA320,310,300,9,15.5,27,97.6,1.756,12437,4113,9300,229300000,135.8,1479000,1628000,69850000,74.9,465700,709700,1088000,120900,1.48E+12,67640000
HEA340,330,300,9.5,16.5,27,104.8,1.795,13347,4495,9900,276900000,144,1678000,1850000,74360000,74.6,495700,755900,1287000,135500,1.79E+12,76670000
HEA360,350,300,10,17.5,27,112.1,1.834,14276,4896,10500,330900000,152.2,1891000,2088000,78870000,74.3,525800,802300,1510000,151000,2.14E+12,86300000
HEA400,390,300,11,19,27,124.8,1.912,15898,5733,11400,450700000,168.4,2311000,2562000,85640000,73.4,570900,872900,1914000,174000,2.89E+12,104700000
HEA450,440,300,11.5,21,27,139.8,2.011,17803,6578,12600,637200000,189.2,2896000,3216000,94650000,72.9,631000,965500,2491000,216600,4.09E+12,130800000
HEA500,490,300,12,23,27,155.1,2.11,19754,7472,13800,869700000,209.8,3550000,3949000,103700000,72.4,691100,1059000,3177000,264800,5.57E+12,159800000
HEA550,540,300,12.5,24,27,166.2,2.209,21176,8372,14400,1119000000,229.9,4146000,4622000,108200000,71.5,721300,1107000,3606000,288500,7.10E+12,184400000
HEA600,590,300,13,25,27,177.8,2.308,22646,9321,15000,1412000000,249.7,4787000,5350000,112700000,70.5,751400,1156000,4075000,313500,8.88E+12,210500000
HEA650,640,300,13.5,26,27,189.7,2.407,24164,10319,15600,1752000000,269.3,5474000,6136000,117200000,69.7,781600,1205000,4586000,339700,1.09E+13,238000000
HEA700,690,300,14.5,27,27,204.5,2.505,26048,11697,16200,2153000000,287.5,6241000,7032000,121800000,68.4,811900,1257000,5228000,360600,1.32E+13,267000000
HEA800,790,300,15,28,30,224.4,2.698,28583,13883,16800,3034000000,325.8,7682000,8699000,126400000,66.5,842600,1312000,6096000,406400,1.81E+13,318200000
HEA900,890,300,16,30,30,251.6,2.896,32053,16333,18000,4221000000,362.9,9485000,10810000,135500000,65,903200,1414000,7510000,469400,2.47E+13,385100000
HEA1000,990,300,16.5,31,30,272.3,3.095,34685,18456,18600,5538000000,399.6,11190000,12820000,140000000,63.5,933600,1470000,8373000,507500,3.18E+13,444100000
