,h,b,t_w,t_f,r,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,I_w,W_w
,mm,mm,mm,mm,mm,kg/m,m,mm2,mm2,mm2,mm4,mm,mm3,mm3,mm4,mm4,mm3,mm3,mm4,mm3,mm6,mm4
HEB100,100,100,6,10,12,20.4,0.567,2604,904,2000,4495000,41.6,89910,104200,1673000,25.3,33450,51420,93090,15520,3233000000,1462000
HEB120,120,120,6.5,11,12,26.7,0.686,3401,1096,2640,8644000,50.4,144100,165200,3175000,30.6,52920,80970,139400,21450,9125000000,2824000
HEB140,140,140,7,12,12,33.7,0.805,4296,1308,3360,15090000,59.3,215600,245400,5497000,35.8,78520,119800,202000,28860,21965000000,4948000
HEB160,160,160,8,13,15,42.6,0.918,5425,1759,4160,24920000,67.8,311500,354000,8892000,40.5,111200,170000,312400,39050,46667000000,8020000
HEB180,180,180,8.5,14,15,51.2,1.037,6525,2024,5040,38310000,76.6,425700,481400,13630000,45.7,151400,231000,422400,49690,91728000000,12380000
HEB200,200,200,9,15,18,61.3,1.151,7808,2483,6000,56960000,85.4,569600,642500,20030000,50.7,200300,305800,595900,66210,1.67E+11,18230000
HEB220,220,220,9.5,16,18,71.5,1.27,9104,2792,7040,80910000,94.3,735500,827000,28430000,55.9,258500,393900,770200,81070,2.90E+11,26010000
HEB240,240,240,10,17,21,83.2,1.384,10599,3323,8160,112600000,103.1,938300,1053000,39230000,60.8,326900,498400,1036000,103600,4.76E+11,35890000
HEB260,260,260,10,17.5,24,93,1.499,11844,3759,9100,149200000,112.2,1148000,1283000,51350000,65.8,395000,602200,1257000,125700,7.36E+11,47140000
HEB280,280,280,10.5,18,24,103.1,1.618,13136,4109,10080,192700000,121.1,1376000,1534000,65950000,70.9,471000,717600,1453000,138400,1.11E+12,60840000
HEB300,300,300,11,19,27,117,1.732,14908,4743,11400,251700000,129.9,1678000,1869000,85630000,75.8,570900,870100,1874000,170400,1.65E+12,79000000
HEB320,320,300,11.5,20.5,27,126.7,1.771,16134,5177,12300,308200000,138.2,1926000,2149000,92390000,75.7,615900,939100,2292000,199300,2.03E+12,90900000
HEB340,340,300,12,21.5,27,134.2,1.81,17090,5609,12900,366600000,146.5,2156000,2408000,96900000,75.3,646000,985700,2620000,218300,2.41E+12,101500000
HEB360,360,300,12.5,22.5,27,141.8,1.849,18063,6060,13500,431900000,154.6,2400000,2683000,101400000,74.9,676100,1032000,2979000,238300,2.83E+12,112600000
HEB400,400,300,13.5,24,27,155.3,1.927,19778,6998,14400,576800000,170.8,2884000,3232000,108200000,74,721300,1104000,3611000,267500,3.75E+12,133900000
HEB450,450,300,14,26,27,171.1,2.026,21798,7966,15600,798900000,191.4,3551000,3982000,117200000,73.3,781400,1198000,4489000,320600,5.18E+12,163800000
HEB500,500,300,14.5,28,27,187.3,2.125,23864,8982,16800,1072000000,211.9,4287000,4815000,126200000,72.7,841600,1292000,5499000,379200,6.92E+12,196600000
HEB550,550,300,15,29,27,199.4,2.224,25406,10007,17400,1367000000,232,4971000,5591000,130800000,71.7,871800,1341000,6123000,408200,8.74E+12,224900000
HEB600,600,300,15.5,30,27,211.9,2.323,26996,11081,18000,1710000000,251.7,5701000,6425000,135300000,70.8,902000,1391000,6796000,438500,1.08E+13,254700000
HEB650,650,300,16,31,27,224.8,2.422,28634,12204,18600,2106000000,271.2,6480000,7320000,139800000,69.9,932300,1441000,7520000,470000,1.32E+13,286000000
HEB700,700,300,17,32,27,240.5,2.52,30638,13710,19200,2569000000,289.6,7340000,8327000,144400000,68.7,962700,1495000,8417000,495100,1.59E+13,318700000
HEB800,800,300,17.5,33,30,262.3,2.713,33418,16175,19800,3591000000,327.8,8977000,10230000,149000000,66.8,993600,1553000,9621000,549800,2.16E+13,377500000
HEB900,900,300,18.5,35,30,291.5,2.911,37128,18875,21000,4941000000,364.8,10980000,12580000,158200000,65.3,1054000,1658000,11540000,623800,2.92E+13,451800000
HEB1000,1000,300,19,36,30,314,3.11,40005,21249,21600,6447000000,401.5,12890000,14860000,162800000,63.8,1085000,1716000,12720000,669500,3.73E+13,518300000
