,h,b,tw,tf,r,m,P,A,Avz,Avy,Iy,iy,Wely,Wply,Iz,iz,Welz,Wplz,IT,WT,Iw,Ww
,mm,mm,mm,mm,mm,kg/m,m,mm2,mm2,mm2,mm4,mm,mm3,mm3,mm4,mm4,mm3,mm3,mm4,mm3,mm6,mm4
HEM100,120,106,12,20,12,41.8,0.619,5324,1804,4240,11430000,46.3,190400,235800,3992000,27.4,75310,116300,672800,56070,9430000000,3640000
HEM120,140,126,12.5,21,12,52.1,0.738,6641,2115,5292,20180000,55.1,288200,350600,7028000,32.5,111600,171600,905300,72420,23887000000,6477000
HEM140,160,146,13,22,12,63.2,0.857,8056,2446,6424,32910000,63.9,411400,493800,11440000,37.7,156800,240500,1186000,91230,52826000000,10620000
HEM160,180,166,14,23,15,76.2,0.97,9705,3081,7636,50980000,72.5,566500,674600,17590000,42.6,211900,325500,1608000,114900,1.05E+11,16290000
HEM180,200,186,14.5,24,15,88.9,1.089,11325,3465,8928,74830000,81.3,748300,883400,25800000,47.7,277400,425200,2014000,138900,1.94E+11,24010000
HEM200,220,206,15,25,18,103.1,1.203,13128,4103,10300,106400000,90,967400,1135000,36510000,52.7,354500,543200,2581000,172100,3.37E+11,33930000
HEM220,240,226,15.5,26,18,117.3,1.322,14944,4531,11752,146000000,98.9,1217000,1419000,50120000,57.9,443500,678600,3136000,202300,5.60E+11,46750000
HEM240,270,248,18,32,21,156.7,1.46,19959,6007,15872,242900000,110.3,1799000,2117000,81530000,63.9,657500,1006000,6272000,348400,1.12E+12,76950000
HEM260,290,268,18,32.5,24,172.4,1.575,21964,6689,17420,313100000,119.4,2159000,2524000,104500000,69,779700,1192000,7223000,401300,1.68E+12,98650000
HEM280,310,288,18.5,33,24,188.5,1.694,24016,7203,19008,395500000,128.3,2551000,2966000,131600000,74,914100,1397000,8094000,437500,2.46E+12,124700000
HEM300,340,310,21,39,27,237.9,1.832,30308,9053,24180,592000000,139.8,3482000,4078000,194000000,80,1252000,1913000,14150000,673800,4.28E+12,185400000
HEM320,359,309,21,40,27,245,1.866,31205,9485,24720,681300000,147.8,3796000,4435000,197100000,79.5,1276000,1951000,15100000,719000,4.89E+12,200400000
HEM340,377,309,21,40,27,247.9,1.902,31583,9863,24720,763700000,155.5,4052000,4718000,197100000,79,1276000,1953000,15160000,721900,5.46E+12,211800000
HEM360,395,308,21,40,27,250.3,1.934,31881,10241,24640,848700000,163.2,4297000,4989000,195200000,78.3,1268000,1942000,15170000,722400,6.01E+12,221800000
HEM400,432,307,21,40,27,255.7,2.004,32578,11018,24560,1041000000,178.8,4820000,5571000,193400000,77,1260000,1934000,15240000,725700,7.27E+12,243500000
HEM450,478,307,21,40,27,263.3,2.096,33544,11984,24560,1315000000,198,5501000,6331000,193400000,75.9,1260000,1939000,15380000,732400,9.09E+12,272400000
HEM500,524,306,21,40,27,270.3,2.184,34430,12950,24480,1619000000,216.9,6180000,7094000,191500000,74.6,1252000,1932000,15480000,737100,1.10E+13,299300000
HEM550,572,306,21,40,27,278.2,2.28,35438,13958,24480,1980000000,236.4,6923000,7933000,191600000,73.5,1252000,1937000,15630000,744300,1.33E+13,329300000
HEM600,620,305,21,40,27,285.5,2.372,36366,14966,24400,2374000000,255.5,7660000,8772000,189800000,72.2,1244000,1930000,15740000,749500,1.57E+13,357000000
HEM650,668,305,21,40,27,293.4,2.468,37374,15974,24400,2817000000,274.5,8433000,9657000,189800000,71.3,1245000,1936000,15880000,756200,1.84E+13,386800000
HEM700,716,304,21,40,27,300.7,2.56,38302,16982,24320,3293000000,293.2,9198000,10540000,188000000,70.1,1237000,1929000,15990000,761400,2.12E+13,413800000
HEM800,814,303,21,40,30,317.3,2.746,40427,19427,24240,4426000000,330.9,10870000,12490000,186300000,67.9,1230000,1930000,16630000,791900,2.75E+13,470800000
HEM900,910,302,21,40,30,332.5,2.934,42363,21443,24160,5704000000,367,12540000,14440000,184500000,66,1222000,1929000,16890000,804300,3.44E+13,526200000
HEM1000,1008,302,21,40,30,348.7,3.13,44421,23501,24160,7223000000,403.2,14330000,16570000,184600000,64.5,1222000,1940000,17190000,818600,4.27E+13,586000000
