,h,b,t_w,t_f,r,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,I_w,W_w
,mm,mm,mm,mm,mm,kg/m,m,mm2,mm2,mm2,mm4,mm,mm3,mm3,mm4,mm4,mm3,mm3,mm4,mm3,mm6,mm4
HL920x344,927,418,19.3,32,19,343.2,3.455,43720,16889,21550,6450000000,384.1,13920000,15700000,390100000,94.5,1867000,2880000,11590000,362190,7.812E+13,835262400
HL920x368,931,419,20.3,34.3,19,365.5,3.465,46560,17812,23069,6922000000,385.6,14870000,16790000,421200000,95.1,2010000,3104000,14080000,410500,8.467E+13,901422400
HL920x390,936,420,21.3,36.6,19,388,3.477,49430,18763,24585,7417000000,387.4,15850000,17920000,452700000,95.7,2156000,3331000,16910000,462020,9.155E+13,969429400
HL920x420,943,422,22.5,39.9,19,419.3,3.496,53410,19927,26575,8133000000,390.2,17250000,19530000,500700000,96.8,2373000,3667000,21510000,539100,1.02E+14,1071611700
HL920x449,948,423,24,42.7,19,448.5,3.507,57140,21317,28386,8747000000,391.3,18450000,20950000,539700000,97.2,2552000,3949000,26270000,615220,1.11E+14,1155266600
HL920x491,957,422,25.9,47,19,489.3,3.518,62330,23163,30967,9663000000,393.7,20200000,23000000,590000000,97.3,2796000,4335000,34410000,732130,1.22E+14,1272850400
HL920x537,965,425,28.4,51.1,19,535.8,3.541,68250,25530,33740,10660000000,395.1,22080000,25270000,655500000,98,3085000,4795000,44470000,870250,1.37E+14,1409859500
HL920x588,975,427,31,55.9,19,587.3,3.563,74810,28031,36868,11810000000,397.4,24230000,27840000,727600000,98.6,3408000,5310000,58600000,1048300,1.53E+14,1561450100
HL920x656,987,431,34.5,62,19,655.7,3.596,83530,31414,40998,13350000000,399.8,27060000,31270000,830400000,99.7,3853000,6022000,79500000,1282260,1.78E+14,1781902600
HL920x725,999,434,38.1,68.1,19,724.5,3.625,92290,34937,45065,14920000000,402.1,29880000,34740000,932000000,100.5,4295000,6734000,105700000,1552130,2.02E+14,1998957500
HL920x787,1011,437,40.9,73.9,19,786.6,3.656,100200,37860,48944,16460000000,405.3,32560000,38010000,1033000000,101.5,4728000,7425000,134300000,1817320,2.27E+14,2215315900
HL920x970,1043,446,50,89.9,19,970.7,3.737,123660,47203,59792,21000000000,412.1,40270000,47660000,1339000000,104,6002000,9490000,243200000,2705230,3.04E+14,2860620500
HL920x1077,1061,451,55,99.1,19,1076.6,3.784,137150,52633,66061,23770000000,416.3,44790000,53390000,1527000000,105.5,6773000,10740000,331700000,3347120,3.51E+14,3234544300
HL920x1194,1081,457,60.5,109,19,1194.4,3.837,152150,58621,73120,26940000000,420.8,49830000,59830000,1750000000,107.2,7660000,12180000,443700000,4070640,4.10E+14,3689295900
HL920x1269,1093,461,64,115.1,19,1269,3.87,161650,62557,77624,29000000000,423.5,53040000,63960000,1899000000,108.4,8237000,13130000,525000000,4561250,4.50E+14,3990134200
