,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,manufacture
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
RHS50x30x2.6,50,30,2.6,3.9,2.6,3,153,382,239,143,121800,17.9,4873,6118,53750,11.9,3584,4246,121000,5897,cold
RHS50x30x3.2,50,30,3.2,4.8,3.2,3.61,152,460,288,173,142100,17.6,5683,7246,61970,11.6,4132,5001,141900,6796,cold
RHS50x30x4,50,30,4,6,4,4.39,150,559,349,210,164900,17.2,6596,8593,70840,11.3,4722,5885,165900,7771,cold
RHS50x30x5,50,30,5,7.5,5,5.28,147,673,421,252,187100,16.7,7486,10030,78880,10.8,5258,6797,189700,8667,cold
RHS60x40x2.6,60,40,2.6,3.9,2.6,3.81,193,486,291,194,235800,22,7862,9649,124400,16,6220,7257,259300,10040,cold
RHS60x40x3.2,60,40,3.2,4.8,3.2,4.62,192,588,353,235,278200,21.8,9275,11520,145700,15.7,7287,8639,308000,11740,cold
RHS60x40x4,60,40,4,6,4,5.64,190,719,431,288,328300,21.4,10940,13830,170300,15.4,8517,10320,366600,13710,cold
RHS60x40x5,60,40,5,7.5,5,6.85,187,873,524,349,380900,20.9,12700,16390,195300,15,9767,12160,429800,15710,cold
RHS60x40x6.3,60,40,6.3,9.4,6.3,8.31,184,1059,635,423,433900,20.2,14460,19230,219200,14.4,10960,14150,495500,17640,cold
RHS80x40x3.2,80,40,3.2,4.8,3.2,5.62,232,716,477,239,571800,28.3,14300,18040,189200,16.3,9459,10990,461900,16080,cold
RHS80x40x4,80,40,4,6,4,6.9,230,879,586,293,682000,27.9,17050,21820,222400,15.9,11120,13200,551900,18900,cold
RHS80x40x5,80,40,5,7.5,5,8.42,227,1073,715,358,802800,27.4,20070,26130,257000,15.5,12850,15660,650500,21850,cold
RHS80x40x6.3,80,40,6.3,9.4,6.3,10.3,224,1311,874,437,932800,26.7,23320,31080,291600,14.9,14580,18400,756300,24840,cold
RHS80x40x8,80,40,8,12,8,12.5,219,1595,1064,532,1060000,25.8,26500,36470,321100,14.2,16050,21200,857600,27450,cold
RHS90x50x3.2,90,50,3.2,4.8,3.2,6.63,272,844,543,301,891300,32.5,19810,24560,352700,20.4,14110,16230,808700,23580,cold
RHS90x50x4,90,50,4,6,4,8.15,270,1039,668,371,1071000,32.1,23800,29850,419500,20.1,16780,19630,975200,28020,cold
RHS90x50x5,90,50,5,7.5,5,9.99,267,1273,818,455,1273000,31.6,28280,35990,492100,19.7,19690,23530,1164000,32860,cold
RHS90x50x6.3,90,50,6.3,9.4,6.3,12.3,264,1563,1005,558,1499000,31,33300,43220,569900,19.1,22800,28020,1377000,38060,cold
RHS90x50x8,90,50,8,12,8,15,259,1915,1231,684,1736000,30.1,38570,51410,645800,18.4,25830,32940,1603000,43210,cold
RHS100x50x3.2,100,50,3.2,4.8,3.2,7.13,292,908,605,303,1159000,35.7,23170,28940,387800,20.7,15510,17730,934500,26380,cold
RHS100x50x4,100,50,4,6,4,8.78,290,1119,746,373,1396000,35.3,27920,35240,461900,20.3,18480,21470,1128000,31400,cold
RHS100x50x5,100,50,5,7.5,5,10.8,287,1373,915,458,1665000,34.8,33300,42610,543000,19.9,21720,25780,1347000,36910,cold
RHS100x50x6.3,100,50,6.3,9.4,6.3,13.3,284,1689,1126,563,1971000,34.2,39420,51350,630500,19.3,25220,30770,1597000,42890,cold
