,h,b,tw,tf,r,m,P,A,Avz,Avy,Iy,iy,Wely,Wply,Iz,iz,Welz,Wplz,IT,WT,Iw,Ww
,mm,mm,mm,mm,mm,kg/m,m,mm2,mm2,mm2,mm4,mm,mm3,mm3,mm4,mm4,mm3,mm3,mm4,mm3,mm6,mm4
UB127x76x13,127,76,4,7.6,8,13,0.537,1652,643,1155,4734000,53.5,74560,84150,557400,18.4,14670,22580,28500,7125,2000000000,881600
UB152x89x16,152,89,4.5,7.7,8,16,0.638,2032,818,1366,8343000,64.1,109500,123300,897500,21,20240,31180,35600,7911,4700000000,1465000
UB178x102x19,178,101,4.8,7.9,8,19,0.738,2426,985,1599,13560000,74.8,152500,171300,1367000,23.7,27020,41590,44100,9188,9900000000,2303000
UB203x102x23,203,102,5.4,9.3,8,23.1,0.79,2940,1238,1893,21050000,84.6,207200,234100,1639000,23.6,32190,49750,70200,13000,15400000000,3121000
UB203x133x25,203,133,5.7,7.8,8,25.1,0.915,3197,1283,2078,23400000,85.6,230300,257700,3076000,31,46190,70940,59600,10460,29400000000,4518000
UB203x133x30,207,134,6.4,9.6,8,30,0.923,3821,1458,2571,28960000,87.1,280000,314400,3847000,31.7,57450,88220,103000,16090,37400000000,5666000
UB254x102x22,254,102,5.7,6.8,8,22,0.89,2802,1644,1382,28410000,100.7,223700,259000,1193000,20.6,23490,37270,41500,7281,18200000000,2899000
UB254x102x25,257,102,6,8.4,8,25.2,0.897,3204,1731,1712,34150000,103.2,265500,305500,1487000,21.5,29180,46010,64200,10700,23000000000,3629000
UB254x102x28,260,102,6.3,10,8,28.3,0.904,3608,1817,2044,40050000,105.4,307600,352800,1785000,22.2,34940,54850,95700,15190,28000000000,4377000
UB254x146x31,251,146,6,8.6,8,31.1,1.062,3968,1686,2513,44130000,105.5,351100,393100,4475000,33.6,61260,94130,85500,14250,66000000000,7442000
UB254x146x37,256,146,6.3,10.9,8,37,1.072,4717,1771,3192,55370000,108.3,432600,483200,5706000,34.8,77960,119400,153000,24290,85700000000,9553000
UB254x146x43,260,147,7.2,12.7,8,43,1.081,5477,2023,3741,65440000,109.3,504100,566300,6774000,35.2,91970,141100,239000,33190,1.03E+11,11330000
UB305x102x25,305,102,5.8,7,8,24.8,0.992,3160,2026,1422,44550000,118.7,292100,342000,1229000,19.7,24200,38810,47700,8224,27300000000,3606000
UB305x102x28,309,102,6,8.8,8,28.2,1,3588,2096,1792,53660000,122.3,347600,402900,1554000,20.8,30530,48450,74000,12330,34900000000,4573000
UB305x102x33,313,102,6.6,10.8,8,32.8,1.009,4183,2306,2212,65010000,124.7,415800,480800,1941000,21.5,37910,60040,122000,18480,44200000000,5719000
UB305x127x37,304,123,7.1,10.7,9,37,1.073,4718,2411,2641,71710000,123.3,471100,539400,3362000,26.7,54490,85410,148000,20850,72500000000,8002000
UB305x127x42,307,124,8,12.1,9,41.9,1.08,5340,2717,3008,81960000,123.9,533600,613500,3888000,27,62550,98410,211000,26380,84600000000,9226000
UB305x127x48,311,125,9,14,9,48.1,1.09,6123,3056,3508,95750000,125,615700,710700,4610000,27.4,73590,116100,318000,35330,1.02E+11,10960000
