,h,b,t_w,t_f,r,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,I_w,W_w
,mm,mm,mm,mm,mm,kg/m,m,mm2,mm2,mm2,mm4,mm,mm3,mm3,mm4,mm4,mm3,mm3,mm4,mm3,mm6,mm4
UC152x152x23,152,152,5.8,6.8,8,23,0.889,2925,997,2070,12500000,65.4,164000,182000,3999000,37,52550,80160,46300,7983,21200000000,3827000
UC152x152x30,158,153,6.5,9.4,8,30,0.901,3826,1156,2875,17480000,67.6,221800,247700,5605000,38.3,73310,111600,105000,16150,30800000000,5437000
UC152x152x37,162,154,8,11.5,8,37,0.912,4711,1427,3551,22100000,68.5,273200,308800,7062000,38.7,91480,139600,192000,24000,39900000000,6877000
UC152x152x44,166,156,9.5,13.6,8,44,0.924,5609,1704,4240,27030000,69.4,325700,372200,8601000,39.2,110300,168700,317000,33370,49900000000,8401000
UC152x152x51,170,157,11,15.7,8,51.2,0.935,6519,1988,4942,32270000,70.4,379200,438100,10220000,39.6,129900,199000,488000,44360,61000000000,10030000
UC203x203x46,203,204,7.2,11,13,46.5,1.185,5922,1802,4479,46050000,88.2,453200,501700,15490000,51.1,152100,231200,233000,32360,1.43E+11,14620000
UC203x203x52,206,204,7.9,12.5,13,52.4,1.192,6677,1986,5108,52960000,89.1,513700,571700,17780000,51.6,174100,264600,332000,42030,1.67E+11,16880000
UC203x203x60,210,206,9.4,14.2,13,60.3,1.202,7686,2336,5845,61620000,89.5,587900,660300,20650000,51.8,200700,305800,491000,52230,1.97E+11,19600000
UC203x203x71,216,206,10,17.3,13,71.4,1.215,9092,2563,7141,76550000,91.8,709500,803000,25380000,52.8,245900,374100,827000,82700,2.50E+11,24410000
UC203x203x86,222,209,12.7,20.5,13,86.5,1.234,11013,3221,8573,94860000,92.8,853800,981000,31280000,53.3,299200,456700,1400000,110200,3.18E+11,30160000
UC203x203x100,229,210,14.5,23.7,13,100,1.248,12734,3711,9968,113300000,94.3,991700,1152000,36800000,53.8,350000,535000,2140000,147600,3.86E+11,35830000
UC203x203x113,235,212,16.3,26.9,13,113.8,1.264,14503,4214,11411,133400000,95.9,1135000,1333000,42860000,54.4,404200,618600,3110000,190800,4.64E+11,42050000
UC203x203x127,241,214,18.1,30.1,13,127.9,1.28,16295,4728,12877,154700000,97.4,1282000,1521000,49210000,55,460100,705100,4350000,240300,5.49E+11,48590000
UC254x254x73,254,255,8.6,14.2,20,74.7,1.475,9515,2975,7231,116400000,110.6,916400,1014000,39100000,64.1,307200,467400,661000,76860,5.63E+11,36870000
UC254x254x81,256,255,9.4,15.6,20,81.7,1.479,10412,3227,7956,128000000,110.9,1000000,1112000,43160000,64.4,338500,515300,854000,90850,6.24E+11,40720000
UC254x254x89,260,256,10.3,17.3,20,90.6,1.491,11536,3538,8868,145000000,112.1,1114000,1246000,48600000,64.9,379300,577500,1140000,110700,7.17E+11,46050000
UC254x254x101,264,257,11.9,19.6,20,102.8,1.498,13093,4036,10074,166000000,112.6,1258000,1418000,55520000,65.1,432100,658800,1630000,137000,8.29E+11,52790000
UC254x254x107,267,259,12.8,20.5,20,108.7,1.509,13843,4315,10611,177500000,113.2,1331000,1506000,59310000,65.5,458300,699500,1880000,146900,8.99E+11,56440000
UC254x254x115,269,259,13.5,22.1,20,116.4,1.513,14826,4561,11448,191700000,113.7,1425000,1621000,64090000,65.7,494900,755300,2310000,171100,9.77E+11,61110000
UC254x254x132,276,261,15.3,25.3,20,133.6,1.533,17018,5196,13222,227600000,115.7,1648000,1891000,75350000,66.5,576700,881100,3410000,222900,1.19E+12,72580000
UC254x254x149,282,263,17.3,28.4,20,150.5,1.547,19178,5867,14938,261700000,116.8,1856000,2151000,86270000,67.1,656000,1004000,4790000,276900,1.39E+12,83360000
UC254x254x167,289,265,19.2,31.7,20,168.7,1.566,21490,6553,16814,302300000,118.6,2092000,2446000,98750000,67.8,744700,1140000,6610000,344300,1.64E+12,96100000
UC305x305x97,308,305,9.9,15.4,20,98,1.783,12490,3855,9403,225000000,134.2,1462000,1611000,73100000,76.5,478800,727700,984000,99390,1.56E+12,69880000
UC305x305x107,311,306,10.9,17,20,108.1,1.79,13767,4228,10404,250500000,134.9,1611000,1784000,81250000,76.8,531100,807500,1300000,119300,1.76E+12,78250000
